Name,Image,Designation,Speaker Type
Prof. Dr. Honggyun Kim,speakers/national_speakers/images_2.jpg,Department of Medical Biology Faculty of Medicine Nigde Ömer Halisdemir University Campus 51240 Türkiye,International
Prof. Dr. Honggyun Kim,speakers/national_speakers/images_1.jpg,"Department of Semiconductor System Engineering, Sejong University, Seoul, South Korea.",International
